context	corpus	speaker	word	onbin	age	gender	speech_style	location	f_word	f_pos	traditional	neutralized
、まぁパンとかでもまあ乗せれるしさあ	KSJ	KSJ001	乗せれる	X	3	F	0.56	adj	し	other.gramm	X	X
....こたつで食べんのが	KSJ	KSJ001	食べる	O	3	F	0.56	adj	の	nom	O	X
ですっていうコミュニティーに入ってんねんけど	KSJ	KSJ001	入ってん	O	3	F	0.56	nonadj	ねん	sfp	O	X
え、でもなんかまああり得るよね	KSJ	KSJ001	あり得る	X	3	F	0.56	nonadj	よ	sfp	X	X
型別に世間一般で言われる美形じゃ	KSJ	KSJ001	れる	X	3	F	0.56	adj	美形	noun	X	X
ない、でも魅力的なぜかひかれるメガネが	KSJ	KSJ001	ひかれる	X	3	F	0.56	adj	メガネ	noun	X	X
..コナミで働いてるらしいな	KSJ	KSJ001	働いてる	X	3	F	0.56	nonadj	らしい	dis	X	X
なんか無駄に欧米化してるやんか	KSJ	KSJ001	化してる	X	3	F	0.56	nonadj	やん	dis	X	X
.だから塩顔の人間当てはめるとわり	KSJ	KSJ001	当てはめる	X	3	F	0.56	adj	と	other.gramm	X	X
.そんな不細工な人っておる？.	KSJ	KSJ001	おる	X	3	F	0.56	adj	.	pause	X	X
みたいな風に言ってもらえるやん。	KSJ	KSJ001	言ってもらえる	X	3	F	0.56	nonadj	やん	dis	X	X
と同じ状態で彼氏と接するって絶対	KSJ	KSJ001	接する	X	3	F	0.56	adj	って	case	X	X
なかった自分いっぱい出てくるしだから	KSJ	KSJ001	出てくる	X	3	F	0.56	nonadj	し	other.gramm	X	X
自分を知って、成長できる、だから	KSJ	KSJ001	できる	X	3	F	0.56	adj	.	pause	X	X
そこが成長できるている	KSJ	KSJ001	できる	X	3	F	0.56	adj	て	case	X	X
んだ	KSJ	KSJ001	できるている	X	3	F	0.56	nonadj	ん	dis	O	O
ほんとに恋しなさいっていっつも言われる。.	KSJ	KSJ001	れる	X	3	F	0.56	adj	.	pause	X	X
よじゃないとって言われる。.	KSJ	KSJ001	れる	X	3	F	0.56	adj	.	pause	X	X
くださいって。.まあ無理やりするもんじゃ	KSJ	KSJ001	する	X	3	F	0.56	adj	もん	noun	X	X
みたいな。.ジャズやってんのにもう	KSJ	KSJ001	やってん	O	3	F	0.56	nonadj	のに	other.gramm	O	X
てしまうし、求めてるもんが	KSJ	KSJ001	求めてる	X	3	F	0.56	nonadj	もん	noun	X	X
ないからさ、自分どうなんのか	KSJ	KSJ001	なる	O	3	F	0.56	adj	の	sfp	O	X
そう。.絶対すぐイラって来んで。	KSJ	KSJ001	来る	O	3	F	0.56	adj	で	sfp	O	X
求めてるもんが	KSJ	KSJ001	求めてる	X	3	F	0.56	nonadj	もん	noun	X	X
...これスクリプトに書き換えんねんな	KSJ	KSJ001	書き換える	O	3	F	0.56	adj	ねん	sfp	O	X
..日本語にしてするの。	KSJ	KSJ001	する	X	3	F	0.56	adj	の	nom	O	X
たら日本語にアップしてくれるのある	KSJ	KSJ001	してくれる	X	3	F	0.56	nonadj	の	nom	O	X
んちゃう	KSJ	KSJ001	ある	X	3	F	0.56	adj	ん	dis	O	O
、いいなーって思ってる人に	KSJ	KSJ001	思ってる	X	3	F	0.56	nonadj	人	noun	X	X
、うち友達って思ってる子は	KSJ	KSJ001	思ってる	X	3	F	0.56	nonadj	子	noun	X	X
に。.まあ素直に喜べるほど、	KSJ	KSJ001	喜べる	X	3	F	0.56	adj	ほど	other.gramm	X	X
相手のこと考えれる人間だっ	KSJ	KSJ001	考えれる	X	3	F	0.56	adj	人間	noun	O	X
をしても正当化できるからね	KSJ	KSJ001	できる	X	3	F	0.56	adj	から	other.gramm	X	X
.なんか、そこで女を責める人は	KSJ	KSJ001	責める	X	3	F	0.56	adj	人	noun	X	X
.でもこう今知ってる中に	KSJ	KSJ001	知ってる	X	3	F	0.56	nonadj	中	noun	O	X
、彼氏に昇格する、昇格	KSJ	KSJ001	する	X	3	F	0.56	adj	.	pause	X	X
？.する人は	KSJ	KSJ001	する	X	3	F	0.56	adj	人	noun	X	X
....それはあるな。	KSJ	KSJ001	ある	X	3	F	0.56	adj	な	sfp	O	X
.年下かつ頼りがいのある子が	KSJ	KSJ001	ある	X	3	F	0.56	adj	子	noun	X	X
結構会うでうち。.見るか。	KSJ	KSJ001	見る	X	3	F	0.56	adj	か	sfp	X	X
.大丈夫、今から成長する。.	KSJ	KSJ001	する	X	3	F	0.56	adj	.	pause	X	X
なのに近いのとかあるからさ	KSJ	KSJ001	ある	X	3	F	0.56	adj	から	other.gramm	X	X
..見てたらかっこよく見えるしな	KSJ	KSJ001	見える	X	3	F	0.56	adj	し	other.gramm	X	X
とこ一つと、あと一つ使える公用語	KSJ	KSJ001	使える	X	3	F	0.56	adj	公用	noun	X	X
しアメリカの南とかでも使える..	KSJ	KSJ001	使える	X	3	F	0.56	adj	.	other.lexical	X	X
..使える範囲が	KSJ	KSJ001	使える	X	3	F	0.56	adj	範囲	noun	X	X
.....仕事するんやっ	KSJ	KSJ001	する	X	3	F	0.56	adj	ん	dis	O	O
たら中国語が今要るけどな	KSJ	KSJ001	要る	X	3	F	0.56	adj	けど	dis	X	X
.まあ人間関係でどうなるか知ら	KSJ	KSJ001	なる	X	3	F	0.56	adj	か	sfp	X	X
.あなたんちに置いてあるから、	KSJ	KSJ001	ある	X	3	F	0.56	adj	から	other.gramm	X	X
うや。.か、食べるか今	KSJ	KSJ001	食べる	X	3	F	0.56	adj	か	sfp	X	X
人生は成功に向いてると思う	KSJ	KSJ001	向いてる	X	3	F	0.56	nonadj	と	case	X	X
最近もうすぐだれでも友達になれるように	KSJ	KSJ001	なれる	X	3	F	0.56	adj	よう	noun	X	X
人見知りってゆったらみんなびっくりするけどな	KSJ	KSJ001	する	X	3	F	0.56	adj	けど	dis	X	X
回生の子は多分結構わかると思う	KSJ	KSJ001	わかる	X	3	F	0.56	adj	と	case	X	X
へ例えばあんまりいきなりしゃべったら嫌われるからとか	KSJ	KSJ001	嫌われる	X	3	F	0.56	adj	から	other.gramm	X	X
そういうのあるやん。	KSJ	KSJ001	ある	X	3	F	0.56	adj	やん	dis	X	X
は例えば共通の話題が見つかるまで質問	KSJ	KSJ001	見つかる	X	3	F	0.56	adj	まで	other.gramm	X	X
する。.	KSJ	KSJ001	する	X	3	F	0.56	adj	.	pause	X	X
趣味なん？.何やってんの？	KSJ	KSJ001	やってん	O	3	F	0.56	nonadj	の	nom	O	X
.って言ってするかな	KSJ	KSJ001	する	X	3	F	0.56	adj	か	sfp	X	X
たから、その時のことは覚えてるけどまあ	KSJ	KSJ002	覚えてる	X	3	F	0.427	nonadj	けど	dis	X	X
部員が八十人ぐらいおるんか	KSJ	KSJ002	ぐらいおる	X	3	F	0.427	nonadj	ん	sfp	O	O
まとめながら、なんかあたしが盛り上げる的な	KSJ	KSJ002	盛り上げる	X	3	F	0.427	adj	的	noun	X	X
て多いからそれまとめたりするのしんどかっ	KSJ	KSJ002	する	X	3	F	0.427	adj	の	nom	O	X
とあたしの三人でもめることも	KSJ	KSJ002	もめる	X	3	F	0.427	adj	こと	noun	X	X
ただでもなんかあの種類ってわかる？.	KSJ	KSJ002	わかる	X	3	F	0.427	adj	.	pause	X	X
人の種類に分かれる的な	KSJ	KSJ002	分かれる	X	3	F	0.427	adj	的	noun	X	X
でもどっちにも属している感じやっ	KSJ	KSJ002	属している	X	3	F	0.427	nonadj	感じ	noun	X	X
気分を下げずに仲直りさせるみたいな	KSJ	KSJ002	させる	X	3	F	0.427	adj	みたい	dis	X	X
......あるよ人間	KSJ	KSJ002	ある	X	3	F	0.427	adj	よ	sfp	X	X
......いるいる。	KSJ	KSJ002	いる	X	3	F	0.427	adj	いる	other.lexical	X	X
.	KSJ	KSJ002	いる	X	3	F	0.427	adj	.	pause	X	X
暴れてた。.まぁわかると思う	KSJ	KSJ002	わかる	X	3	F	0.427	adj	と	case	X	X
個かあって、空いてんねやん	KSJ	KSJ002	空いてん	O	3	F	0.427	nonadj	ね	dis	O	X
....そういうがあるけど、	KSJ	KSJ002	ある	X	3	F	0.427	adj	けど	dis	X	X
留学があるけど学年	KSJ	KSJ002	ある	X	3	F	0.427	adj	けど	dis	X	X
をだぶらずに行けるのが	KSJ	KSJ002	行ける	X	3	F	0.427	adj	の	nom	O	X
.まあそれはだから入学する前から	KSJ	KSJ002	する	X	3	F	0.427	adj	前	other.lexical	X	X
ホワイトボードみたいなのがあんねんやん	KSJ	KSJ002	ある	O	3	F	0.427	adj	ねん	dis	O	X
、えっとねパソコンとつながってるねん、	KSJ	KSJ002	つながってる	X	3	F	0.427	nonadj	ねん	sfp	O	X
のペンみたいなのがあんねんやん	KSJ	KSJ002	ある	O	3	F	0.427	adj	ねん	dis	O	X
自体がパソコンに保存されるように	KSJ	KSJ002	れる	X	3	F	0.427	adj	よう	noun	X	X
教えながらにして保存できるみたいな	KSJ	KSJ002	できる	X	3	F	0.427	adj	みたい	dis	X	X
て次回の授業でまた使えるみたいな	KSJ	KSJ002	使える	X	3	F	0.427	adj	みたい	dis	X	X
びっくりした。.こんなあんのみたい	KSJ	KSJ002	ある	O	3	F	0.427	adj	の	nom	O	X
が、Englishのクラスがあるねん、	KSJ	KSJ002	ある	X	3	F	0.427	adj	ねん	sfp	O	X
あるやんか	KSJ	KSJ002	ある	X	3	F	0.427	adj	やん	dis	X	X
代とかやし、仲良くなるという	KSJ	KSJ002	なる	X	3	F	0.427	adj	と	other.gramm	X	X
な。.ちょっと遠くから見る感じの	KSJ	KSJ002	見る	X	3	F	0.427	adj	感じ	noun	X	X
クラスとかやったら発表とかあるやんか	KSJ	KSJ002	ある	X	3	F	0.427	adj	やん	dis	X	X
..そういうのは別にあんねやん	KSJ	KSJ002	ある	O	3	F	0.427	adj	ね	dis	O	X
ポンポンポンとmathとかを入れられるんやん	KSJ	KSJ002	られる	X	3	F	0.427	adj	ん	dis	O	O
。.で制服がこんなんあるんだ	KSJ	KSJ002	ある	X	3	F	0.427	adj	ん	dis	O	O
か、その自分のプレゼンする前に	KSJ	KSJ002	する	X	3	F	0.427	adj	前	other.lexical	X	X
、まぁ結局いっちゃん最後にやることに	KSJ	KSJ002	やる	X	3	F	0.427	adj	こと	noun	X	X
。.でも結構むこうにいる時は	KSJ	KSJ002	いる	X	3	F	0.427	adj	時	noun	X	X
いくのが結構抵抗がある年代やっ	KSJ	KSJ002	ある	X	3	F	0.427	adj	年代	noun	O	X
、やっぱ自分のスキルがあるやんか	KSJ	KSJ002	ある	X	3	F	0.427	adj	やん	dis	X	X
をアピールして、仲良くなるみたいな	KSJ	KSJ002	なる	X	3	F	0.427	adj	みたい	dis	X	X
んじゃなくて、なんか考えるみたいな	KSJ	KSJ002	考える	X	3	F	0.427	adj	みたい	dis	X	X
その立体的なものから考えるみたいな	KSJ	KSJ002	考える	X	3	F	0.427	adj	みたい	dis	X	X
ゆったコンピューターと繋がってる、電子	KSJ	KSJ002	繋がってる	X	3	F	0.427	nonadj	.	pause	X	X
。.もうみんな出てるからね	KSJ	KSJ002	出てる	X	3	F	0.427	nonadj	から	other.gramm	X	X
ももう子供さん産んではるし、	KSJ	KSJ002	はる	X	3	F	0.427	adj	し	other.gramm	X	X
あたしがおる間に	KSJ	KSJ002	おる	X	3	F	0.427	adj	間	noun	X	X
けど、ひ孫も見れてるぐらいな	KSJ	KSJ002	見れてる	X	3	F	0.427	nonadj	ぐらい	other.gramm	X	X
。.うちが住んでる時に	KSJ	KSJ002	住んでる	X	3	F	0.427	nonadj	時	noun	X	X
は違う部屋、もうずっとおるとこに	KSJ	KSJ002	おる	X	3	F	0.427	adj	とこ	noun	X	X
どうやったらこう来てくれるかとか	KSJ	KSJ002	来てくれる	X	3	F	0.427	nonadj	か	sfp	X	X
うちよりも、うちがいる間ほんまに	KSJ	KSJ002	いる	X	3	F	0.427	adj	間	noun	X	X
...あーまあめちゃめちゃ出来るわけでは	KSJ	KSJ002	出来る	X	3	F	0.427	adj	わけ	noun	X	X
がごはんを用意してくれんねん、	KSJ	KSJ002	してくれる	O	3	F	0.427	nonadj	ねん	sfp	O	X
。.で、ママの食べる量と	KSJ	KSJ002	食べる	X	3	F	0.427	adj	量	noun	X	X
、あたしの食べる量比べ	KSJ	KSJ002	食べる	X	3	F	0.427	adj	量	noun	X	X
にママの二倍食べてんねん、	KSJ	KSJ002	食べてん	O	3	F	0.427	nonadj	ねん	sfp	O	X
.いつもそういう風によそわれんねんやん	KSJ	KSJ002	れる	O	3	F	0.427	adj	ねん	dis	O	X
、お皿によそってあんねやん	KSJ	KSJ002	ある	O	3	F	0.427	adj	ね	dis	O	X
は必ずデザートが出てくんねんやん	KSJ	KSJ002	出てくる	O	3	F	0.427	nonadj	ねん	dis	O	X
とか。.アイスクリームが常に出んねやん	KSJ	KSJ002	出る	O	3	F	0.427	adj	ね	dis	O	X
...おばあちゃんももちろん食べんねん。	KSJ	KSJ002	食べる	O	3	F	0.427	adj	ねん	sfp	O	X
の量をあたし食べてるんやん	KSJ	KSJ002	食べてる	X	3	F	0.427	nonadj	ん	dis	O	O
、ソファってあの足元が跳ね上がるやつ.	KSJ	KSJ002	跳ね上がる	X	3	F	0.427	adj	やつ	other.lexical	X	X
....寝れるタイプの	KSJ	KSJ002	寝れる	X	3	F	0.427	adj	タイプ	noun	X	X
しながら寝ながらテレビを見るみたいな	KSJ	KSJ002	見る	X	3	F	0.427	adj	みたい	dis	X	X
またそのドラマとか見てる間に	KSJ	KSJ002	見てる	X	3	F	0.427	nonadj	間	noun	X	X
の子袋を出してくんねん、	KSJ	KSJ002	出してくる	O	3	F	0.427	nonadj	ねん	sfp	O	X
であたしにも渡してくるねやん	KSJ	KSJ002	渡してくる	X	3	F	0.427	nonadj	ね	dis	O	X
..カレーもしかも、入れるもんが	KSJ	KSJ002	入れる	X	3	F	0.427	adj	もん	noun	X	X
やんか、で朝起こされんねんやん	KSJ	KSJ002	れる	O	3	F	0.427	adj	ねん	dis	O	X
トントンってドアノックされんねんやん	KSJ	KSJ002	れる	O	3	F	0.427	adj	ねん	dis	O	X
、パンが用意されてんねん、	KSJ	KSJ002	れてん	O	3	F	0.427	nonadj	ねん	sfp	O	X
たパンが用意されてんねん。	KSJ	KSJ002	れてん	O	3	F	0.427	nonadj	ねん	sfp	O	X
オレンジジュースが用意されてんねん。	KSJ	KSJ002	れてん	O	3	F	0.427	nonadj	ねん	sfp	O	X
頃は、やっぱ初め緊張するやんか	KSJ	KSJ002	する	X	3	F	0.427	adj	やん	dis	X	X
きて、でパンに変えることに	KSJ	KSJ002	変える	X	3	F	0.427	adj	こと	noun	X	X
パンも普通に塗って食べることに	KSJ	KSJ002	食べる	X	3	F	0.427	adj	こと	noun	X	X
か。.でそれが出来るように	KSJ	KSJ002	出来る	X	3	F	0.427	adj	よう	noun	X	X
朝キッチンに準備されてんねん。	KSJ	KSJ002	れてん	O	3	F	0.427	nonadj	ねん	sfp	O	X
ボックスももう用意されてんねん。	KSJ	KSJ002	れてん	O	3	F	0.427	nonadj	ねん	sfp	O	X
、いつもサンドイッチは必ず入ってんねん。	KSJ	KSJ002	入ってん	O	3	F	0.427	nonadj	ねん	sfp	O	X
レーズンて箱型のレーズンあるやんか	KSJ	KSJ002	ある	X	3	F	0.427	adj	やん	dis	X	X
、それと果物が絶対入ってんねんな	KSJ	KSJ002	入ってん	O	3	F	0.427	nonadj	ねん	sfp	O	X
たけど、なんかこう日々やるみたいの	KSJ	KSJ002	やる	X	3	F	0.427	adj	みたい	dis	X	X
でカップヌードルとか売ってるやんか	KSJ	KSJ002	売ってる	X	3	F	0.427	nonadj	やん	dis	X	X
リビングでテレビをその足上がるソファ座っ	KSJ	KSJ002	上がる	X	3	F	0.427	adj	ソファ	noun	X	X
でああじゃあ寝よかぁって寝るときに	KSJ	KSJ002	寝る	X	3	F	0.427	adj	とき	noun	X	X
食べてきた袋をみんねん、	KSJ	KSJ002	みる	O	3	F	0.427	adj	ねん	sfp	O	X
ほんだらだいぶなくなってるんやん	KSJ	KSJ002	なくなってる	X	3	F	0.427	nonadj	ん	dis	O	O
辞めて、歯磨きして寝るねんやん	KSJ	KSJ002	寝る	X	3	F	0.427	adj	ねん	dis	O	X
あれやからラムチョップがあるねんけど	KSJ	KSJ002	ある	X	3	F	0.427	adj	ねん	sfp	O	X
にミントソースってのがあるねんやん	KSJ	KSJ002	ある	X	3	F	0.427	adj	ねん	dis	O	X
それがミントソースがスッてするけど、	KSJ	KSJ002	する	X	3	F	0.427	adj	けど	dis	X	X
その一緒の学校の子おるやんか	KSJ	KSJ002	おる	X	3	F	0.427	adj	やん	dis	X	X
は。.でうちがいる間に	KSJ	KSJ002	いる	X	3	F	0.427	adj	間	noun	X	X
てたら、でうちがいる間に	KSJ	KSJ002	いる	X	3	F	0.427	adj	間	noun	X	X
がひどくなってて、寝る時も	KSJ	KSJ002	寝る	X	3	F	0.427	adj	時	noun	X	X
.呼吸ボックスみたいなんあるやんか	KSJ	KSJ002	ある	X	3	F	0.427	adj	やん	dis	X	X
まぁ、でもずっとそこにいるわけに	KSJ	KSJ002	いる	X	3	F	0.427	adj	わけ	noun	X	X
んから、まぁ帰ってくるやんか	KSJ	KSJ002	帰ってくる	X	3	F	0.427	nonadj	やん	dis	X	X
の親友みたいな人がおんねんけど	KSJ	KSJ002	おる	O	3	F	0.427	adj	ねん	sfp	O	X
、ローズさんて人がいんねんけど	KSJ	KSJ002	いる	O	3	F	0.427	adj	ねん	sfp	O	X
その人も二匹飼ってんねん、	KSJ	KSJ002	飼ってん	O	3	F	0.427	nonadj	ねん	sfp	O	X
でこうキャンプ行ったりとかするような	KSJ	KSJ002	する	X	3	F	0.427	adj	よう	noun	X	X
もみんなちゃうけど、めっちゃおんねんやん	KSJ	KSJ002	おる	O	3	F	0.427	adj	ねん	dis	O	X
.でこれがコロコロいっぱいおるわけ、	KSJ	KSJ002	おる	X	3	F	0.427	adj	わけ	noun	X	X
ちゃうちゃう。.いきてる間で	KSJ	KSJ002	いきてる	X	3	F	0.427	nonadj	間	noun	X	X
なんかただ臭くて臭いもするけど、	KSJ	KSJ002	する	X	3	F	0.427	adj	けど	dis	X	X
臭いもなぁ若干すんねん、	KSJ	KSJ002	する	O	3	F	0.427	adj	ねん	sfp	O	X
でエマさ、わかる？.	KSJ	KSJ002	わかる	X	3	F	0.427	adj	.	pause	X	X
けど、経験したことあるんか	KSJ	KSJ002	ある	X	3	F	0.427	adj	ん	sfp	O	O
髪の毛ってちょっとオイリーな感じするやん。	KSJ	KSJ002	する	X	3	F	0.427	adj	やん	dis	X	X
.カシカシしてる感じわかる	KSJ	KSJ002	してる	X	3	F	0.427	nonadj	感じ	noun	X	X
？.	KSJ	KSJ002	わかる	X	3	F	0.427	adj	.	pause	X	X
そう。.でも水浴はさせるらしいねん	KSJ	KSJ002	させる	X	3	F	0.427	adj	らしい	dis	X	X
ん？.って感じになるんやん	KSJ	KSJ002	なる	X	3	F	0.427	adj	ん	dis	O	O
普通に床に寝ころんだりするやんか	KSJ	KSJ002	する	X	3	F	0.427	adj	やん	dis	X	X
お腹の上に上って来るねん。	KSJ	KSJ002	上って来る	X	3	F	0.427	nonadj	ねん	sfp	O	X
、胸のここにふせすんねん。	KSJ	KSJ002	する	O	3	F	0.427	adj	ねん	sfp	O	X
.ここで顔に顔あるやんか	KSJ	KSJ002	ある	X	3	F	0.427	adj	やん	dis	X	X
.ただママが帰ってくる物音し	KSJ	KSJ002	帰ってくる	X	3	F	0.427	nonadj	物音	noun	X	X
、テラスみたいなんがあるねんやん	KSJ	KSJ002	ある	X	3	F	0.427	adj	ねん	dis	O	X
窓囲ってあってついてんねんな	KSJ	KSJ002	ついてん	O	3	F	0.427	nonadj	ねん	sfp	O	X
けど、ちょっとだけ開けてあんねん。	KSJ	KSJ002	ある	O	3	F	0.427	adj	ねん	sfp	O	X
.エマが通れるスペースだけ	KSJ	KSJ002	通れる	X	3	F	0.427	adj	スペース	noun	X	X
開けてあんねんやん	KSJ	KSJ002	ある	O	3	F	0.427	adj	ねん	dis	O	X
まぁだからバンって音が聞こえるやんか	KSJ	KSJ002	聞こえる	X	3	F	0.427	adj	やん	dis	X	X
わんわん鳴いてこうママを迎える、みたい	KSJ	KSJ002	迎える	X	3	F	0.427	adj	.	pause	X	X
さ脇に入れて抱っこすんのが	KSJ	KSJ002	する	O	3	F	0.427	adj	の	nom	O	X
みたいな。.いろんなエピソードあるでまだまだ	KSJ	KSJ002	ある	X	3	F	0.427	adj	で	other.gramm	O	X
中に普通冷蔵庫と冷凍庫あるやんか	KSJ	KSJ002	ある	X	3	F	0.427	adj	やん	dis	X	X
一人暮らしにしてはでかすぎるやろ、	KSJ	KSJ002	すぎる	X	3	F	0.427	adj	やろ	dis	X	X
の大きさの冷凍庫があるねんやん	KSJ	KSJ002	ある	X	3	F	0.427	adj	ねん	dis	O	X
